Prob Thresh: 0.005 | Time:  1298 | Score: 383308.0 | Mv/Sec: 11.30 | Pt/Sec: 295.31 | Max Tile: 14
Prob Thresh: 0.005 | Time:  1369 | Score: 387200.0 | Mv/Sec: 10.87 | Pt/Sec: 282.83 | Max Tile: 14
Prob Thresh: 0.01 | Time:  1215 | Score: 627012.0 | Mv/Sec: 18.29 | Pt/Sec: 516.06 | Max Tile: 15
Prob Thresh: 0.05 | Time:    13 | Score: 138028.0 | Mv/Sec: 448.46 | Pt/Sec: 10617.54 | Max Tile: 13
Prob Thresh: 0.05 | Time:    11 | Score: 128788.0 | Mv/Sec: 484.55 | Pt/Sec: 11708.00 | Max Tile: 13
Prob Thresh: 0.05 | Time:    12 | Score: 134696.0 | Mv/Sec: 475.33 | Pt/Sec: 11224.67 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 172316.0 | Mv/Sec: 479.27 | Pt/Sec: 11487.73 | Max Tile: 13
Prob Thresh: 0.05 | Time:     9 | Score: 100136.0 | Mv/Sec: 514.78 | Pt/Sec: 11126.22 | Max Tile: 12
Prob Thresh: 0.05 | Time:     8 | Score: 91032.0 | Mv/Sec: 522.62 | Pt/Sec: 11379.00 | Max Tile: 12
Prob Thresh: 0.05 | Time:    29 | Score: 357480.0 | Mv/Sec: 464.66 | Pt/Sec: 12326.90 | Max Tile: 14
Prob Thresh: 0.05 | Time:     9 | Score: 112948.0 | Mv/Sec: 518.67 | Pt/Sec: 12549.78 | Max Tile: 13
Prob Thresh: 0.05 | Time:    19 | Score: 236060.0 | Mv/Sec: 462.00 | Pt/Sec: 12424.21 | Max Tile: 14
Prob Thresh: 0.05 | Time:    15 | Score: 175244.0 | Mv/Sec: 491.47 | Pt/Sec: 11682.93 | Max Tile: 13
Prob Thresh: 0.05 | Time:    11 | Score: 133156.0 | Mv/Sec: 511.27 | Pt/Sec: 12105.09 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 175036.0 | Mv/Sec: 488.40 | Pt/Sec: 11669.07 | Max Tile: 13
Prob Thresh: 0.05 | Time:    15 | Score: 177212.0 | Mv/Sec: 495.87 | Pt/Sec: 11814.13 | Max Tile: 13
Prob Thresh: 0.05 | Time:     5 | Score: 56072.0 | Mv/Sec: 508.60 | Pt/Sec: 11214.40 | Max Tile: 12
